[2026-03-13 11:06:00.159] [FRAME-TX] 7 bytes | U | 68 04 00 07 00 00 00
[2026-03-13 11:06:00.167] [FRAME-TX] 7 bytes | S | 68 04 00 01 00 06 00
[2026-03-13 11:06:00.168] [FRAME-RX] 16 bytes | I | 68 0D 00 06 00 02 00 08 01 0A 00 00 02 FF 00 00
[2026-03-13 11:06:00.168] [FRAME-RX] 50 bytes | I | 68 2F 00 08 00 02 00 2A 0C 09 00 00 03 FF 10 00 FF 11 01 FF 12 01 FF 13 00 FF 14 01 FF 15 01 FF 16 00 FF 20 00 FF 21 00 80 01 00 80 02 00 80 03 00 00
[2026-03-13 11:06:00.170] [FRAME-RX] 16 bytes | I | 68 0D 00 0A 00 02 00 08 01 0A 00 00 03 FF 00 00
[2026-03-13 11:06:00.170] [FRAME-TX] 7 bytes | S | 68 04 00 01 00 0C 00
[2026-03-13 11:06:00.170] [FRAME-RX] 107 bytes | I | 68 68 00 0C 00 04 00 0A 01 2A 00 00 01 FE F1 01 09 01 01 01 07 04 01 54 6E A4 43 01 02 01 07 04 01 C5 52 75 43 01 03 01 07 04 01 FA 5B 51 43 01 04 01 07 04 01 B5 F0 5E 43 01 05 01 07 04 01 39 1E 80 43 01 06 01 07 04 01 50 37 2E 43 01 07 01 07 04 01 3A E5 B3 41 01 08 01 07 04 01 34 5E 8F 41 01 09 01 07 04 01 5C 08 46 42
[2026-03-13 11:06:00.173] [FRAME-RX] 57 bytes | I | 68 36 00 0E 00 06 00 0A 01 2A 00 00 01 FE F1 01 04 02 01 01 03 04 01 E6 F1 00 00 02 02 01 03 04 01 13 18 00 00 02 03 01 03 04 01 34 78 00 00 02 04 01 03 04 01 DC 9A 01 00
[2026-03-13 11:06:00.247] [FRAME-RX] 53 bytes | I | 68 32 00 10 00 08 00 0A 01 2A 00 00 01 FE F1 01 03 05 01 01 01 07 01 44 45 56 2D 30 30 31 05 02 01 01 06 01 56 32 2E 30 2E 30 05 03 01 01 05 01 43 50 55 2D 30
[2026-03-13 11:06:00.247] [FRAME-TX] 7 bytes | S | 68 04 00 01 00 12 00
[2026-03-13 11:06:00.249] [FRAME-RX] 37 bytes | I | 68 22 00 12 00 0A 00 0A 01 2A 00 00 01 FE F1 01 02 06 01 01 04 04 01 5F 15 00 00 06 02 01 04 04 01 2D F4 FF FF
[2026-03-13 11:06:00.250] [FRAME-RX] 38 bytes | I | 68 23 00 14 00 0C 00 0A 01 2A 00 00 01 FE F1 01 03 07 01 01 09 01 01 01 07 02 01 09 01 01 01 07 03 01 09 01 01 02
[2026-03-13 11:06:00.251] [FRAME-RX] 41 bytes | I | 68 26 00 16 00 0E 00 0A 01 2A 00 00 01 FE F1 01 01 64 01 01 D5 16 01 00 00 00 00 AD 00 06 0B AD 03 1A AD 00 06 0B AD 03 1A
[2026-03-13 11:06:00.279] [FRAME-TX] 7 bytes | S | 68 04 00 01 00 18 00
[2026-03-13 11:06:00.280] [FRAME-RX] 41 bytes | I | 68 26 00 18 00 0E 00 0A 01 2A 00 00 01 FE F1 01 01 64 02 01 D6 16 01 00 00 00 00 AD 00 06 0B AD 03 1A AD 00 06 0B AD 03 1A
[2026-03-13 11:06:00.280] [FRAME-RX] 45 bytes | I | 68 2A 00 1A 00 0E 00 0A 01 2A 00 00 01 FE F1 01 01 64 03 01 D7 16 01 33 73 5F 43 00 00 00 00 AD 00 06 0B AD 03 1A AD 00 06 0B AD 03 1A
[2026-03-13 11:06:00.281] [FRAME-RX] 45 bytes | I | 68 2A 00 1C 00 0E 00 0A 01 2A 00 00 01 FE F1 01 01 64 04 01 D8 16 01 10 27 00 00 00 00 00 00 AD 00 06 0B AD 03 1A AD 00 06 0B AD 03 1A
[2026-03-13 11:06:00.281] [FRAME-TX] 7 bytes | S | 68 04 00 01 00 1E 00
[2026-03-13 11:06:00.283] [FRAME-RX] 81 bytes | I | 68 4E 00 1E 00 0E 00 0A 01 2A 00 00 01 FE F1 01 01 64 05 01 D9 3A 01 46 41 55 4C 54 5F 31 5F 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AE 00 06 0B AD 03 1A AE 00 06 0B AD 03 1A
[2026-03-13 11:06:10.163] [FRAME-RX] 35 bytes | I | 68 20 00 20 00 0E 00 02 01 01 00 00 03 80 01 02 64 00 03 00 A1 00 06 0B AD 03 1A A1 00 06 0B AD 03 1A 89
[2026-03-13 11:06:20.159] [FRAME-TX] 7 bytes | S | 68 04 00 01 00 22 00
[2026-03-13 11:06:20.160] [FRAME-TX] 7 bytes | U | 68 04 00 43 00 00 00
[2026-03-13 11:06:20.161] [FRAME-RX] 31 bytes | I | 68 1C 00 22 00 0E 00 01 01 01 00 00 03 FF 14 01 A0 00 06 0B AD 03 1A A0 00 06 0B AD 03 1A 00
[2026-03-13 11:06:20.161] [FRAME-RX] 7 bytes | U | 68 04 00 83 00 00 00
